Season,Champion,Points,Win,Draw,Lose
2000,Manchester Utd,91,28,7,3
2001,Manchester Utd,80,24,8,6
2002,Arsenal,87,26,9,3
2003,Manchester Utd,83,25,8,5
2004,Arsenal,90,26,12,0
2005,Chelsea,95,29,8,1
2006,Chelsea,91,29,4,5
2007,Manchester Utd,89,28,5,5
2008,Manchester Utd,87,27,6,5
2009,Manchester Utd,90,28,6,4
2010,Chelsea,86,27,5,6
2011,Manchester Utd,80,23,11,4
2012,Manchester Utd,89,28,5,5
2013,Manchester Utd,89,28,5,5
2014,Manchester City,86,27,5,6
2015,Chelsea,87,26,9,3
2016,Leicester City,81,23,12,3
2017,Chelsea,93,30,3,5
2018,Manchester City,100,32,4,2
2019,Manchester City,98,32,2,4
2020,Liverpool,99,32,3,3
2021,Manchester City,86,27,5,6
2022,Manchester City,93,29,6,3
2023,Manchester City,89,28,5,5
